Doc_name	Precision	Recall
CACM-1795	1.0		0.091
CACM-1886	0.5		0.091
CACM-1947	0.667		0.182
CACM-2495	0.75		0.273
CACM-2748	0.6		0.273
CACM-2680	0.5		0.273
CACM-2897	0.571		0.364
CACM-2559	0.5		0.364
CACM-2944	0.444		0.364
CACM-1195	0.4		0.364
CACM-3171	0.364		0.364
CACM-2904	0.333		0.364
CACM-2253	0.308		0.364
CACM-1651	0.286		0.364
CACM-2491	0.267		0.364
CACM-2537	0.25		0.364
CACM-1564	0.235		0.364
CACM-2701	0.222		0.364
CACM-3080	0.211		0.364
CACM-2858	0.2		0.364
CACM-2716	0.19		0.364
CACM-3005	0.182		0.364
CACM-2423	0.174		0.364
CACM-2464	0.167		0.364
CACM-2722	0.16		0.364
CACM-2433	0.154		0.364
CACM-2033	0.148		0.364
CACM-2929	0.143		0.364
CACM-2611	0.138		0.364
CACM-2835	0.133		0.364
CACM-0066	0.129		0.364
CACM-2734	0.125		0.364
CACM-1235	0.121		0.364
CACM-2856	0.118		0.364
CACM-0149	0.114		0.364
CACM-3054	0.111		0.364
CACM-1289	0.108		0.364
CACM-2374	0.105		0.364
CACM-2892	0.103		0.364
CACM-1064	0.1		0.364
CACM-1414	0.098		0.364
CACM-1204	0.095		0.364
CACM-1362	0.093		0.364
CACM-0048	0.091		0.364
CACM-2524	0.089		0.364
CACM-3129	0.087		0.364
CACM-1807	0.106		0.455
CACM-1655	0.104		0.455
CACM-1275	0.102		0.455
CACM-1757	0.1		0.455
CACM-2711	0.098		0.455
CACM-0230	0.096		0.455
CACM-3083	0.094		0.455
CACM-2078	0.093		0.455
CACM-1030	0.091		0.455
CACM-1542	0.089		0.455
CACM-1065	0.088		0.455
CACM-2950	0.086		0.455
CACM-2586	0.085		0.455
CACM-2133	0.083		0.455
CACM-2745	0.082		0.455
CACM-2230	0.081		0.455
CACM-1369	0.079		0.455
CACM-2262	0.078		0.455
CACM-1901	0.077		0.455
CACM-2836	0.076		0.455
CACM-1708	0.075		0.455
CACM-2645	0.074		0.455
CACM-3134	0.072		0.455
CACM-1465	0.071		0.455
CACM-0797	0.07		0.455
CACM-1071	0.069		0.455
CACM-1234	0.068		0.455
CACM-1331	0.068		0.455
CACM-1066	0.067		0.455
CACM-1670	0.066		0.455
CACM-1429	0.065		0.455
CACM-2134	0.064		0.455
CACM-2812	0.063		0.455
CACM-1226	0.062		0.455
CACM-3040	0.062		0.455
CACM-2389	0.061		0.455
CACM-0693	0.06		0.455
CACM-3018	0.06		0.455
CACM-2000	0.059		0.455
CACM-0267	0.058		0.455
CACM-1694	0.057		0.455
CACM-1652	0.057		0.455
CACM-2400	0.056		0.455
CACM-1443	0.056		0.455
CACM-2490	0.055		0.455
CACM-2969	0.054		0.455
CACM-2569	0.054		0.455
CACM-2623	0.053		0.455
CACM-0124	0.053		0.455
CACM-1735	0.052		0.455
CACM-2499	0.052		0.455
CACM-1290	0.051		0.455
CACM-1658	0.051		0.455
CACM-0794	0.05		0.455
