Doc_name	Precision	Recall
CACM-1658	0.0		0.0
CACM-1795	0.0		0.0
CACM-2253	0.0		0.0
CACM-1223	0.25		0.062
CACM-1947	0.4		0.125
CACM-1134	0.5		0.188
CACM-2491	0.429		0.188
CACM-1154	0.375		0.188
CACM-2897	0.333		0.188
CACM-2748	0.3		0.188
CACM-3080	0.273		0.188
CACM-3005	0.25		0.188
CACM-1886	0.231		0.188
CACM-1564	0.214		0.188
CACM-2904	0.2		0.188
CACM-1676	0.188		0.188
CACM-2433	0.176		0.188
CACM-2495	0.222		0.25
CACM-2701	0.211		0.25
CACM-2858	0.2		0.25
CACM-1807	0.238		0.312
CACM-1402	0.227		0.312
CACM-2423	0.217		0.312
CACM-3171	0.208		0.312
CACM-2929	0.2		0.312
CACM-2944	0.192		0.312
CACM-0252	0.185		0.312
CACM-3054	0.179		0.312
CACM-1542	0.172		0.312
CACM-1726	0.167		0.312
CACM-2233	0.161		0.312
CACM-2835	0.156		0.312
CACM-1665	0.152		0.312
CACM-2344	0.147		0.312
CACM-2979	0.143		0.312
CACM-1362	0.139		0.312
CACM-1523	0.135		0.312
CACM-2871	0.132		0.312
CACM-0048	0.128		0.312
CACM-1783	0.125		0.312
CACM-2527	0.122		0.312
CACM-1652	0.119		0.312
CACM-2812	0.116		0.312
CACM-3115	0.114		0.312
CACM-2699	0.111		0.312
CACM-3130	0.109		0.312
CACM-1275	0.106		0.312
CACM-1195	0.104		0.312
CACM-3066	0.102		0.312
CACM-1331	0.1		0.312
CACM-2138	0.098		0.312
CACM-2616	0.096		0.312
CACM-1392	0.094		0.312
CACM-1387	0.093		0.312
CACM-2834	0.091		0.312
CACM-0241	0.089		0.312
CACM-1621	0.088		0.312
CACM-2106	0.086		0.312
CACM-2321	0.085		0.312
CACM-1389	0.083		0.312
CACM-3125	0.082		0.312
CACM-3018	0.081		0.312
CACM-3020	0.079		0.312
CACM-1719	0.078		0.312
CACM-2680	0.077		0.312
CACM-2264	0.076		0.312
CACM-1167	0.075		0.312
CACM-2953	0.074		0.312
CACM-1029	0.072		0.312
CACM-0104	0.071		0.312
CACM-1231	0.085		0.375
CACM-2195	0.083		0.375
CACM-2246	0.082		0.375
CACM-2877	0.081		0.375
CACM-3173	0.08		0.375
CACM-1016	0.079		0.375
CACM-1770	0.078		0.375
CACM-1066	0.077		0.375
CACM-2570	0.076		0.375
CACM-2883	0.075		0.375
CACM-0537	0.074		0.375
CACM-2746	0.073		0.375
CACM-0892	0.072		0.375
CACM-2969	0.071		0.375
CACM-2079	0.071		0.375
CACM-0320	0.07		0.375
CACM-0719	0.069		0.375
CACM-0796	0.068		0.375
CACM-1308	0.067		0.375
CACM-2801	0.067		0.375
CACM-1350	0.066		0.375
CACM-3002	0.065		0.375
CACM-3000	0.065		0.375
CACM-0096	0.064		0.375
CACM-1670	0.063		0.375
CACM-2267	0.062		0.375
CACM-1974	0.062		0.375
CACM-1868	0.061		0.375
CACM-1385	0.061		0.375
CACM-2134	0.06		0.375
