Doc_name	Precision	Recall
CACM-2829	1.0		0.059
CACM-2523	1.0		0.118
CACM-2494	0.667		0.118
CACM-1002	0.5		0.118
CACM-2825	0.4		0.118
CACM-1679	0.333		0.118
CACM-1404	0.286		0.118
CACM-2325	0.25		0.118
CACM-1260	0.222		0.118
CACM-1809	0.2		0.118
CACM-1855	0.182		0.118
CACM-0533	0.167		0.118
CACM-1732	0.154		0.118
CACM-1823	0.143		0.118
CACM-1801	0.133		0.118
CACM-2812	0.125		0.118
CACM-1782	0.118		0.118
CACM-2050	0.111		0.118
CACM-1802	0.105		0.118
CACM-1780	0.1		0.118
CACM-1507	0.095		0.118
CACM-2871	0.091		0.118
CACM-3149	0.087		0.118
CACM-1045	0.083		0.118
CACM-2286	0.08		0.118
CACM-2923	0.077		0.118
CACM-1916	0.074		0.118
CACM-1917	0.071		0.118
CACM-1435	0.069		0.118
CACM-0525	0.067		0.118
CACM-0974	0.065		0.118
CACM-2877	0.062		0.118
CACM-2947	0.061		0.118
CACM-1921	0.059		0.118
CACM-0461	0.057		0.118
CACM-1837	0.056		0.118
CACM-2701	0.054		0.118
CACM-2310	0.053		0.118
CACM-2719	0.051		0.118
CACM-1668	0.05		0.118
CACM-1669	0.049		0.118
CACM-0329	0.048		0.118
CACM-0633	0.047		0.118
CACM-0912	0.045		0.118
CACM-1709	0.044		0.118
CACM-1989	0.043		0.118
CACM-1014	0.043		0.118
CACM-1034	0.042		0.118
CACM-0167	0.041		0.118
CACM-3055	0.04		0.118
CACM-1325	0.039		0.118
CACM-2437	0.038		0.118
CACM-2447	0.038		0.118
CACM-2798	0.037		0.118
CACM-0085	0.036		0.118
CACM-2634	0.036		0.118
CACM-1424	0.035		0.118
CACM-2739	0.034		0.118
CACM-2735	0.034		0.118
CACM-1104	0.033		0.118
CACM-1529	0.033		0.118
CACM-2835	0.032		0.118
CACM-3069	0.032		0.118
CACM-1637	0.031		0.118
CACM-1272	0.031		0.118
CACM-0826	0.03		0.118
CACM-1632	0.03		0.118
CACM-2176	0.029		0.118
CACM-2831	0.029		0.118
CACM-0931	0.029		0.118
CACM-1911	0.028		0.118
CACM-1003	0.028		0.118
CACM-1653	0.027		0.118
CACM-2671	0.027		0.118
CACM-2811	0.027		0.118
CACM-0726	0.026		0.118
CACM-1605	0.026		0.118
CACM-2944	0.026		0.118
CACM-1885	0.025		0.118
CACM-2560	0.025		0.118
CACM-2937	0.025		0.118
CACM-1365	0.024		0.118
CACM-0721	0.024		0.118
CACM-2820	0.024		0.118
CACM-1623	0.024		0.118
CACM-3078	0.023		0.118
CACM-2062	0.023		0.118
CACM-1930	0.023		0.118
CACM-2446	0.022		0.118
CACM-1683	0.022		0.118
CACM-1650	0.022		0.118
CACM-3194	0.022		0.118
CACM-0396	0.022		0.118
CACM-2605	0.021		0.118
CACM-3086	0.021		0.118
CACM-0825	0.021		0.118
CACM-0238	0.021		0.118
CACM-2999	0.02		0.118
CACM-2407	0.02		0.118
CACM-2819	0.02		0.118
