Doc_name	Precision	Recall
CACM-3127	1.0	0.2
CACM-2246	1.0	0.4
CACM-1930	0.667	0.4
CACM-3068	0.5	0.4
CACM-1461	0.4	0.4
CACM-3196	0.333	0.4
CACM-1750	0.286	0.4
CACM-1680	0.25	0.4
CACM-2372	0.222	0.4
CACM-1247	0.2	0.4
CACM-2069	0.182	0.4
CACM-3025	0.167	0.4
CACM-2621	0.154	0.4
CACM-2424	0.143	0.4
CACM-1747	0.133	0.4
CACM-2740	0.125	0.4
CACM-2111	0.118	0.4
CACM-1923	0.111	0.4
CACM-1462	0.105	0.4
CACM-1226	0.1	0.4
CACM-3141	0.095	0.4
CACM-2320	0.091	0.4
CACM-2867	0.087	0.4
CACM-2482	0.083	0.4
CACM-2950	0.08	0.4
CACM-2624	0.077	0.4
CACM-2151	0.074	0.4
CACM-2522	0.071	0.4
CACM-3026	0.069	0.4
CACM-1728	0.067	0.4
CACM-2840	0.065	0.4
CACM-1236	0.062	0.4
CACM-2317	0.061	0.4
CACM-0322	0.059	0.4
CACM-2379	0.057	0.4
CACM-2629	0.083	0.6
CACM-2541	0.081	0.6
CACM-3174	0.079	0.6
CACM-3028	0.077	0.6
CACM-3137	0.075	0.6
CACM-2597	0.073	0.6
CACM-2080	0.095	0.8
CACM-2378	0.093	0.8
CACM-2184	0.091	0.8
CACM-2319	0.089	0.8
CACM-2036	0.087	0.8
CACM-1951	0.085	0.8
CACM-1752	0.083	0.8
CACM-1324	0.082	0.8
CACM-2138	0.08	0.8
CACM-2297	0.078	0.8
CACM-1591	0.077	0.8
CACM-2358	0.075	0.8
CACM-2622	0.074	0.8
CACM-1472	0.073	0.8
CACM-0696	0.071	0.8
CACM-3050	0.07	0.8
CACM-2920	0.069	0.8
CACM-1755	0.068	0.8
CACM-2357	0.067	0.8
CACM-2878	0.066	0.8
CACM-2632	0.065	0.8
CACM-2777	0.063	0.8
CACM-2535	0.062	0.8
CACM-2796	0.062	0.8
CACM-2542	0.061	0.8
CACM-1892	0.06	0.8
CACM-1517	0.059	0.8
CACM-1519	0.058	0.8
CACM-1069	0.057	0.8
CACM-2283	0.056	0.8
CACM-2219	0.056	0.8
CACM-2536	0.055	0.8
CACM-1534	0.054	0.8
CACM-2849	0.053	0.8
CACM-2868	0.053	0.8
CACM-1751	0.052	0.8
CACM-2625	0.051	0.8
CACM-3002	0.051	0.8
CACM-1810	0.05	0.8
CACM-1647	0.049	0.8
CACM-1264	0.049	0.8
CACM-2972	0.048	0.8
CACM-2374	0.048	0.8
CACM-0825	0.047	0.8
CACM-2342	0.047	0.8
CACM-3105	0.046	0.8
CACM-0698	0.045	0.8
CACM-1657	0.045	0.8
CACM-1735	0.044	0.8
CACM-1698	0.044	0.8
CACM-2582	0.043	0.8
CACM-2311	0.043	0.8
CACM-3014	0.043	0.8
CACM-3006	0.042	0.8
CACM-1341	0.042	0.8
CACM-1959	0.041	0.8
CACM-2479	0.041	0.8
CACM-2681	0.04	0.8
CACM-2985	0.04	0.8
