Doc_name	Precision	Recall
CACM-1514	0.0	0.0
CACM-3012	0.0	0.0
CACM-3134	0.0	0.0
CACM-2990	0.0	0.0
CACM-1032	0.0	0.0
CACM-2882	0.0	0.0
CACM-0651	0.0	0.0
CACM-1699	0.0	0.0
CACM-1959	0.0	0.0
CACM-0239	0.0	0.0
CACM-1681	0.091	0.125
CACM-2583	0.083	0.125
CACM-2345	0.077	0.125
CACM-2407	0.071	0.125
CACM-2479	0.067	0.125
CACM-1457	0.062	0.125
CACM-2311	0.059	0.125
CACM-2577	0.056	0.125
CACM-2852	0.053	0.125
CACM-2198	0.05	0.125
CACM-2798	0.048	0.125
CACM-2163	0.045	0.125
CACM-2812	0.043	0.125
CACM-2372	0.042	0.125
CACM-3090	0.04	0.125
CACM-1541	0.038	0.125
CACM-3177	0.037	0.125
CACM-2522	0.036	0.125
CACM-1066	0.034	0.125
CACM-0440	0.033	0.125
CACM-2402	0.032	0.125
CACM-1680	0.031	0.125
CACM-0637	0.03	0.125
CACM-1233	0.029	0.125
CACM-1808	0.029	0.125
CACM-2795	0.056	0.25
CACM-2318	0.054	0.25
CACM-1627	0.053	0.25
CACM-1267	0.051	0.25
CACM-2985	0.05	0.25
CACM-1747	0.049	0.25
CACM-0652	0.048	0.25
CACM-2307	0.047	0.25
CACM-2390	0.068	0.375
CACM-3181	0.067	0.375
CACM-3026	0.065	0.375
CACM-2888	0.064	0.375
CACM-2988	0.062	0.375
CACM-3011	0.061	0.375
CACM-1935	0.06	0.375
CACM-1226	0.059	0.375
CACM-2631	0.058	0.375
CACM-2561	0.075	0.5
CACM-2127	0.093	0.625
CACM-1236	0.091	0.625
CACM-2947	0.089	0.625
CACM-2840	0.088	0.625
CACM-2092	0.086	0.625
CACM-1199	0.085	0.625
CACM-1750	0.083	0.625
CACM-1924	0.082	0.625
CACM-2314	0.081	0.625
CACM-3089	0.079	0.625
CACM-1713	0.078	0.625
CACM-2111	0.077	0.625
CACM-3142	0.076	0.625
CACM-3180	0.075	0.625
CACM-1489	0.074	0.625
CACM-1341	0.072	0.625
CACM-1652	0.071	0.625
CACM-1415	0.07	0.625
CACM-1280	0.069	0.625
CACM-0616	0.068	0.625
CACM-0597	0.068	0.625
CACM-2995	0.067	0.625
CACM-3125	0.066	0.625
CACM-1461	0.065	0.625
CACM-2106	0.064	0.625
CACM-3150	0.063	0.625
CACM-2567	0.062	0.625
CACM-2151	0.062	0.625
CACM-1844	0.061	0.625
CACM-0025	0.06	0.625
CACM-1071	0.06	0.625
CACM-2818	0.059	0.625
CACM-2951	0.058	0.625
CACM-2308	0.057	0.625
CACM-2288	0.057	0.625
CACM-0018	0.056	0.625
CACM-2621	0.056	0.625
CACM-1912	0.055	0.625
CACM-2846	0.054	0.625
CACM-2730	0.054	0.625
CACM-1196	0.053	0.625
CACM-1435	0.053	0.625
CACM-2741	0.052	0.625
CACM-1711	0.052	0.625
CACM-2036	0.051	0.625
CACM-1728	0.051	0.625
CACM-2870	0.05	0.625
