Doc_name	Precision	Recall
CACM-2626	0.0	0.0
CACM-1750	0.0	0.0
CACM-1677	0.0	0.0
CACM-3105	0.0	0.0
CACM-2372	0.0	0.0
CACM-1680	0.0	0.0
CACM-2939	0.0	0.0
CACM-2878	0.0	0.0
CACM-2840	0.0	0.0
CACM-2314	0.0	0.0
CACM-2541	0.091	0.033
CACM-3128	0.167	0.067
CACM-2870	0.154	0.067
CACM-3026	0.143	0.067
CACM-2320	0.2	0.1
CACM-2632	0.25	0.133
CACM-2377	0.235	0.133
CACM-1747	0.222	0.133
CACM-2938	0.263	0.167
CACM-1591	0.25	0.167
CACM-3068	0.238	0.167
CACM-2036	0.227	0.167
CACM-2578	0.217	0.167
CACM-2080	0.25	0.2
CACM-1461	0.24	0.2
CACM-0696	0.231	0.2
CACM-2936	0.222	0.2
CACM-2849	0.214	0.2
CACM-1476	0.207	0.2
CACM-0104	0.2	0.2
CACM-3050	0.194	0.2
CACM-1534	0.188	0.2
CACM-2817	0.182	0.2
CACM-2321	0.176	0.2
CACM-1247	0.171	0.2
CACM-1290	0.167	0.2
CACM-2985	0.162	0.2
CACM-0059	0.158	0.2
CACM-3025	0.154	0.2
CACM-2621	0.15	0.2
CACM-2069	0.146	0.2
CACM-1341	0.143	0.2
CACM-0084	0.14	0.2
CACM-2876	0.136	0.2
CACM-2424	0.133	0.2
CACM-3183	0.13	0.2
CACM-2949	0.128	0.2
CACM-0618	0.125	0.2
CACM-2844	0.122	0.2
CACM-3127	0.12	0.2
CACM-2439	0.118	0.2
CACM-0086	0.115	0.2
CACM-2558	0.113	0.2
CACM-1264	0.111	0.2
CACM-3141	0.109	0.2
CACM-2111	0.107	0.2
CACM-3153	0.105	0.2
CACM-2867	0.103	0.2
CACM-1844	0.102	0.2
CACM-3011	0.1	0.2
CACM-1226	0.098	0.2
CACM-2821	0.097	0.2
CACM-1636	0.095	0.2
CACM-1754	0.094	0.2
CACM-2020	0.092	0.2
CACM-2742	0.091	0.2
CACM-2740	0.104	0.233
CACM-0300	0.103	0.233
CACM-0251	0.101	0.233
CACM-1923	0.1	0.233
CACM-2151	0.099	0.233
CACM-2950	0.097	0.233
CACM-1462	0.096	0.233
CACM-1728	0.095	0.233
CACM-2522	0.093	0.233
CACM-1236	0.092	0.233
CACM-1033	0.091	0.233
CACM-2624	0.09	0.233
CACM-2317	0.089	0.233
CACM-0322	0.087	0.233
CACM-3028	0.086	0.233
CACM-2482	0.085	0.233
CACM-1962	0.084	0.233
CACM-2438	0.083	0.233
CACM-2721	0.082	0.233
CACM-1485	0.081	0.233
CACM-2629	0.08	0.233
CACM-2379	0.091	0.267
CACM-3137	0.09	0.267
CACM-3014	0.089	0.267
CACM-2184	0.088	0.267
CACM-2378	0.087	0.267
CACM-2597	0.097	0.3
CACM-1951	0.096	0.3
CACM-3072	0.095	0.3
CACM-3174	0.094	0.3
CACM-2319	0.093	0.3
CACM-3064	0.092	0.3
CACM-2342	0.101	0.333
CACM-1752	0.1	0.333
