Doc_name	Precision	Recall
CACM-2967	0.0		0.0
CACM-3087	0.5		0.037
CACM-1844	0.333		0.037
CACM-2002	0.25		0.037
CACM-2424	0.2		0.037
CACM-2882	0.333		0.074
CACM-0695	0.286		0.074
CACM-3142	0.25		0.074
CACM-2876	0.222		0.074
CACM-1856	0.2		0.074
CACM-1366	0.182		0.074
CACM-3092	0.167		0.074
CACM-3011	0.154		0.074
CACM-2716	0.214		0.111
CACM-2198	0.267		0.148
CACM-1747	0.25		0.148
CACM-3025	0.235		0.148
CACM-2812	0.222		0.148
CACM-1695	0.211		0.148
CACM-2957	0.25		0.185
CACM-1264	0.238		0.185
CACM-1572	0.227		0.185
CACM-2816	0.261		0.222
CACM-2188	0.25		0.222
CACM-2951	0.24		0.222
CACM-2928	0.231		0.222
CACM-2931	0.222		0.222
CACM-3026	0.214		0.222
CACM-1462	0.207		0.222
CACM-2358	0.2		0.222
CACM-2852	0.194		0.222
CACM-2479	0.188		0.222
CACM-2377	0.212		0.259
CACM-3049	0.206		0.259
CACM-3077	0.2		0.259
CACM-2828	0.194		0.259
CACM-2625	0.189		0.259
CACM-2342	0.184		0.259
CACM-2786	0.179		0.259
CACM-2138	0.175		0.259
CACM-3150	0.171		0.259
CACM-1665	0.167		0.259
CACM-2421	0.163		0.259
CACM-3112	0.159		0.259
CACM-2311	0.156		0.259
CACM-3030	0.152		0.259
CACM-2817	0.17		0.296
CACM-2151	0.167		0.296
CACM-1685	0.163		0.296
CACM-2003	0.16		0.296
CACM-2516	0.176		0.333
CACM-2988	0.173		0.333
CACM-1698	0.17		0.333
CACM-2484	0.167		0.333
CACM-2379	0.164		0.333
CACM-0670	0.161		0.333
CACM-0616	0.158		0.333
CACM-3136	0.155		0.333
CACM-2985	0.153		0.333
CACM-2106	0.15		0.333
CACM-2680	0.148		0.333
CACM-1827	0.145		0.333
CACM-2314	0.143		0.333
CACM-2127	0.141		0.333
CACM-2020	0.138		0.333
CACM-3146	0.136		0.333
CACM-1750	0.134		0.333
CACM-1959	0.132		0.333
CACM-1470	0.13		0.333
CACM-2319	0.129		0.333
CACM-2359	0.127		0.333
CACM-3138	0.125		0.333
CACM-1805	0.123		0.333
CACM-2710	0.135		0.37
CACM-2753	0.133		0.37
CACM-3158	0.132		0.37
CACM-0944	0.13		0.37
CACM-2740	0.128		0.37
CACM-2372	0.127		0.37
CACM-2396	0.125		0.37
CACM-3056	0.123		0.37
CACM-1962	0.122		0.37
CACM-1680	0.12		0.37
CACM-2720	0.119		0.37
CACM-1846	0.118		0.37
CACM-2194	0.116		0.37
CACM-2525	0.115		0.37
CACM-1519	0.114		0.37
CACM-3070	0.112		0.37
CACM-2542	0.111		0.37
CACM-2888	0.11		0.37
CACM-2344	0.109		0.37
CACM-2890	0.108		0.37
CACM-3059	0.106		0.37
CACM-2470	0.105		0.37
CACM-1589	0.104		0.37
CACM-1379	0.103		0.37
CACM-0585	0.102		0.37
CACM-3076	0.101		0.37
CACM-2380	0.1		0.37
