Doc_name	Precision	Recall
CACM-3031	1.0		0.062
CACM-2867	0.5		0.062
CACM-2470	0.333		0.062
CACM-1698	0.25		0.062
CACM-3105	0.2		0.062
CACM-2931	0.167		0.062
CACM-0595	0.143		0.062
CACM-3177	0.125		0.062
CACM-3142	0.111		0.062
CACM-2970	0.1		0.062
CACM-2582	0.091		0.062
CACM-2941	0.167		0.125
CACM-2989	0.154		0.125
CACM-0497	0.143		0.125
CACM-2247	0.133		0.125
CACM-3148	0.125		0.125
CACM-3033	0.118		0.125
CACM-3060	0.111		0.125
CACM-1637	0.105		0.125
CACM-0867	0.1		0.125
CACM-3162	0.095		0.125
CACM-2939	0.136		0.188
CACM-2369	0.13		0.188
CACM-2305	0.125		0.188
CACM-2390	0.12		0.188
CACM-0670	0.115		0.188
CACM-2609	0.111		0.188
CACM-2400	0.107		0.188
CACM-1359	0.103		0.188
CACM-2082	0.1		0.188
CACM-2815	0.097		0.188
CACM-2139	0.094		0.188
CACM-1643	0.091		0.188
CACM-3140	0.088		0.188
CACM-2958	0.114		0.25
CACM-1861	0.111		0.25
CACM-1873	0.108		0.25
CACM-2579	0.105		0.25
CACM-1769	0.103		0.25
CACM-2876	0.1		0.25
CACM-2705	0.098		0.25
CACM-1931	0.095		0.25
CACM-3014	0.093		0.25
CACM-1032	0.091		0.25
CACM-1489	0.089		0.25
CACM-3052	0.087		0.25
CACM-2232	0.085		0.25
CACM-1382	0.083		0.25
CACM-1536	0.082		0.25
CACM-2184	0.08		0.25
CACM-2327	0.078		0.25
CACM-1958	0.077		0.25
CACM-0321	0.075		0.25
CACM-2229	0.074		0.25
CACM-1470	0.073		0.25
CACM-0718	0.071		0.25
CACM-2912	0.07		0.25
CACM-1867	0.069		0.25
CACM-2196	0.068		0.25
CACM-3132	0.067		0.25
CACM-2712	0.066		0.25
CACM-2622	0.065		0.25
CACM-3103	0.079		0.312
CACM-3054	0.078		0.312
CACM-2957	0.092		0.375
CACM-2832	0.091		0.375
CACM-2145	0.09		0.375
CACM-2750	0.088		0.375
CACM-1170	0.087		0.375
CACM-2176	0.086		0.375
CACM-1456	0.085		0.375
CACM-2903	0.083		0.375
CACM-2956	0.096		0.438
CACM-0536	0.095		0.438
CACM-2986	0.093		0.438
CACM-2905	0.092		0.438
CACM-1806	0.091		0.438
CACM-3069	0.09		0.438
CACM-1623	0.089		0.438
CACM-2707	0.087		0.438
CACM-1474	0.086		0.438
CACM-0675	0.085		0.438
CACM-1625	0.084		0.438
CACM-1516	0.083		0.438
CACM-1628	0.082		0.438
CACM-2979	0.081		0.438
CACM-3082	0.08		0.438
CACM-2309	0.08		0.438
CACM-0492	0.079		0.438
CACM-2233	0.078		0.438
CACM-2208	0.077		0.438
CACM-1727	0.076		0.438
CACM-2420	0.075		0.438
CACM-1346	0.074		0.438
CACM-2354	0.074		0.438
CACM-0441	0.073		0.438
CACM-1934	0.072		0.438
CACM-3002	0.071		0.438
CACM-1162	0.071		0.438
CACM-1248	0.07		0.438
