Doc_name	Precision	Recall
CACM-2939	0.0		0.0
CACM-2377	0.0		0.0
CACM-3128	0.333		0.083
CACM-2844	0.25		0.083
CACM-3043	0.4		0.167
CACM-2742	0.333		0.167
CACM-2721	0.286		0.167
CACM-2558	0.25		0.167
CACM-3105	0.222		0.167
CACM-2314	0.2		0.167
CACM-2767	0.182		0.167
CACM-2870	0.167		0.167
CACM-2931	0.154		0.167
CACM-2439	0.143		0.167
CACM-2342	0.133		0.167
CACM-1135	0.125		0.167
CACM-2936	0.118		0.167
CACM-1470	0.111		0.167
CACM-1677	0.105		0.167
CACM-2848	0.1		0.167
CACM-2905	0.095		0.167
CACM-2626	0.091		0.167
CACM-2969	0.087		0.167
CACM-3049	0.083		0.167
CACM-1145	0.08		0.167
CACM-1485	0.077		0.167
CACM-2020	0.074		0.167
CACM-2851	0.071		0.167
CACM-3064	0.069		0.167
CACM-3103	0.067		0.167
CACM-1651	0.065		0.167
CACM-3141	0.062		0.167
CACM-2632	0.061		0.167
CACM-2900	0.059		0.167
CACM-2519	0.057		0.167
CACM-2541	0.056		0.167
CACM-1742	0.054		0.167
CACM-2895	0.053		0.167
CACM-2060	0.051		0.167
CACM-2840	0.05		0.167
CACM-1665	0.049		0.167
CACM-1506	0.048		0.167
CACM-1253	0.047		0.167
CACM-0616	0.045		0.167
CACM-2940	0.044		0.167
CACM-0409	0.043		0.167
CACM-1829	0.043		0.167
CACM-1458	0.042		0.167
CACM-2438	0.041		0.167
CACM-2958	0.04		0.167
CACM-1905	0.039		0.167
CACM-2912	0.058		0.25
CACM-1846	0.057		0.25
CACM-1014	0.056		0.25
CACM-3013	0.055		0.25
CACM-2865	0.054		0.25
CACM-0483	0.053		0.25
CACM-3132	0.052		0.25
CACM-3148	0.051		0.25
CACM-1727	0.05		0.25
CACM-2815	0.049		0.25
CACM-1272	0.048		0.25
CACM-2383	0.048		0.25
CACM-1754	0.047		0.25
CACM-3018	0.046		0.25
CACM-0724	0.045		0.25
CACM-3081	0.045		0.25
CACM-3171	0.044		0.25
CACM-2371	0.058		0.333
CACM-1463	0.057		0.333
CACM-2989	0.056		0.333
CACM-2627	0.056		0.333
CACM-1362	0.055		0.333
CACM-3056	0.054		0.333
CACM-1534	0.053		0.333
CACM-2810	0.053		0.333
CACM-2920	0.052		0.333
CACM-2816	0.051		0.333
CACM-2684	0.051		0.333
CACM-1527	0.05		0.333
CACM-2932	0.049		0.333
CACM-1307	0.049		0.333
CACM-3069	0.048		0.333
CACM-1143	0.048		0.333
CACM-1248	0.047		0.333
CACM-2054	0.047		0.333
CACM-2500	0.046		0.333
CACM-1099	0.045		0.333
CACM-0435	0.045		0.333
CACM-1165	0.044		0.333
CACM-3073	0.055		0.417
CACM-2196	0.054		0.417
CACM-1978	0.054		0.417
CACM-1699	0.053		0.417
CACM-1908	0.053		0.417
CACM-1698	0.052		0.417
CACM-2273	0.052		0.417
CACM-2406	0.051		0.417
CACM-2949	0.051		0.417
CACM-2515	0.05		0.417
