Doc_name	Precision	Recall
CACM-0497	0.0		0.0
CACM-3078	0.5		0.333
CACM-2434	0.667		0.667
CACM-2786	0.5		0.667
CACM-3129	0.4		0.667
CACM-1264	0.333		0.667
CACM-0616	0.286		0.667
CACM-2250	0.25		0.667
CACM-1977	0.222		0.667
CACM-2039	0.2		0.667
CACM-1519	0.182		0.667
CACM-1931	0.167		0.667
CACM-2572	0.154		0.667
CACM-0397	0.143		0.667
CACM-1652	0.133		0.667
CACM-2177	0.125		0.667
CACM-0282	0.118		0.667
CACM-3202	0.111		0.667
CACM-3086	0.105		0.667
CACM-2304	0.1		0.667
CACM-2534	0.095		0.667
CACM-0847	0.091		0.667
CACM-2863	0.13		1.0
CACM-1012	0.125		1.0
CACM-0335	0.12		1.0
CACM-3199	0.115		1.0
CACM-0727	0.111		1.0
CACM-1364	0.107		1.0
CACM-3180	0.103		1.0
CACM-2939	0.1		1.0
CACM-1588	0.097		1.0
CACM-1010	0.094		1.0
CACM-2971	0.091		1.0
CACM-3171	0.088		1.0
CACM-2439	0.086		1.0
CACM-1821	0.083		1.0
CACM-1569	0.081		1.0
CACM-1974	0.079		1.0
CACM-3117	0.077		1.0
CACM-2100	0.075		1.0
CACM-2448	0.073		1.0
CACM-2713	0.071		1.0
CACM-1272	0.07		1.0
CACM-1424	0.068		1.0
CACM-1439	0.067		1.0
CACM-3189	0.065		1.0
CACM-1593	0.064		1.0
CACM-2047	0.062		1.0
CACM-2980	0.061		1.0
CACM-2850	0.06		1.0
CACM-2449	0.059		1.0
CACM-0047	0.058		1.0
CACM-1676	0.057		1.0
CACM-0942	0.056		1.0
CACM-1671	0.055		1.0
CACM-2215	0.054		1.0
CACM-2845	0.053		1.0
CACM-2916	0.052		1.0
CACM-1014	0.051		1.0
CACM-0372	0.05		1.0
CACM-0391	0.049		1.0
CACM-0394	0.048		1.0
CACM-1096	0.048		1.0
CACM-1702	0.047		1.0
CACM-1941	0.046		1.0
CACM-1981	0.045		1.0
CACM-1990	0.045		1.0
CACM-2422	0.044		1.0
CACM-2440	0.043		1.0
CACM-2472	0.043		1.0
CACM-2917	0.042		1.0
CACM-1638	0.042		1.0
CACM-1427	0.041		1.0
CACM-2519	0.041		1.0
CACM-1258	0.04		1.0
CACM-0854	0.039		1.0
CACM-1563	0.039		1.0
CACM-1606	0.038		1.0
CACM-1881	0.038		1.0
CACM-1943	0.037		1.0
CACM-2392	0.037		1.0
CACM-2395	0.037		1.0
CACM-2473	0.036		1.0
CACM-2520	0.036		1.0
CACM-1651	0.035		1.0
CACM-1975	0.035		1.0
CACM-1861	0.034		1.0
CACM-3136	0.034		1.0
CACM-0408	0.034		1.0
CACM-1334	0.033		1.0
CACM-1542	0.033		1.0
CACM-2002	0.033		1.0
CACM-1591	0.032		1.0
CACM-1705	0.032		1.0
CACM-1867	0.032		1.0
CACM-2219	0.031		1.0
CACM-2905	0.031		1.0
CACM-1611	0.031		1.0
CACM-2311	0.03		1.0
CACM-2984	0.03		1.0
