Doc_name	Precision	Recall
CACM-2318	1.0		0.02
CACM-2268	0.5		0.02
CACM-2984	0.667		0.039
CACM-2812	0.5		0.039
CACM-2634	0.4		0.039
CACM-2951	0.333		0.039
CACM-2542	0.286		0.039
CACM-1938	0.25		0.039
CACM-3089	0.333		0.059
CACM-3070	0.3		0.059
CACM-2990	0.273		0.059
CACM-3119	0.333		0.078
CACM-3136	0.308		0.078
CACM-2319	0.357		0.098
CACM-2535	0.4		0.118
CACM-2894	0.375		0.118
CACM-1908	0.353		0.118
CACM-1653	0.389		0.137
CACM-2522	0.368		0.137
CACM-2882	0.35		0.137
CACM-2988	0.381		0.157
CACM-2892	0.364		0.157
CACM-1032	0.348		0.157
CACM-1030	0.333		0.157
CACM-3048	0.36		0.176
CACM-2741	0.385		0.196
CACM-2298	0.37		0.196
CACM-3091	0.357		0.196
CACM-2852	0.345		0.196
CACM-1750	0.333		0.196
CACM-1518	0.355		0.216
CACM-3088	0.375		0.235
CACM-1805	0.394		0.255
CACM-3028	0.382		0.255
CACM-2151	0.371		0.255
CACM-1719	0.389		0.275
CACM-1347	0.378		0.275
CACM-3072	0.368		0.275
CACM-1267	0.359		0.275
CACM-1827	0.35		0.275
CACM-2106	0.341		0.275
CACM-1671	0.333		0.275
CACM-2017	0.326		0.275
CACM-2344	0.318		0.275
CACM-2016	0.311		0.275
CACM-2798	0.326		0.294
CACM-1728	0.319		0.294
CACM-2859	0.333		0.314
CACM-2849	0.327		0.314
CACM-1792	0.32		0.314
CACM-3153	0.314		0.314
CACM-2571	0.308		0.314
CACM-1931	0.302		0.314
CACM-2375	0.296		0.314
CACM-2452	0.309		0.333
CACM-1071	0.304		0.333
CACM-0436	0.298		0.333
CACM-2317	0.293		0.333
CACM-0893	0.288		0.333
CACM-2985	0.283		0.333
CACM-0096	0.279		0.333
CACM-1699	0.274		0.333
CACM-0040	0.27		0.333
CACM-2048	0.266		0.333
CACM-2711	0.262		0.333
CACM-1196	0.258		0.333
CACM-2967	0.254		0.333
CACM-2217	0.25		0.333
CACM-0322	0.246		0.333
CACM-3078	0.243		0.333
CACM-1844	0.239		0.333
CACM-1341	0.236		0.333
CACM-0417	0.233		0.333
CACM-2502	0.23		0.333
CACM-2553	0.227		0.333
CACM-0143	0.224		0.333
CACM-2818	0.234		0.353
CACM-1747	0.231		0.353
CACM-2262	0.228		0.353
CACM-1415	0.225		0.353
CACM-1572	0.235		0.373
CACM-1912	0.232		0.373
CACM-2286	0.229		0.373
CACM-3035	0.226		0.373
CACM-0671	0.224		0.373
CACM-3026	0.221		0.373
CACM-2314	0.218		0.373
CACM-2479	0.216		0.373
CACM-2105	0.213		0.373
CACM-2669	0.222		0.392
CACM-2765	0.231		0.412
CACM-2936	0.228		0.412
CACM-1066	0.226		0.412
CACM-1236	0.223		0.412
CACM-1272	0.221		0.412
CACM-0092	0.219		0.412
CACM-1473	0.216		0.412
CACM-1808	0.214		0.412
CACM-2624	0.212		0.412
CACM-0533	0.21		0.412
