Doc_name	Precision	Recall
CACM-2699	1.0		0.053
CACM-2906	1.0		0.105
CACM-0724	0.667		0.105
CACM-2782	0.5		0.105
CACM-1923	0.6		0.158
CACM-2717	0.5		0.158
CACM-2647	0.429		0.158
CACM-3171	0.375		0.158
CACM-1835	0.333		0.158
CACM-2267	0.3		0.158
CACM-3150	0.364		0.211
CACM-2198	0.333		0.211
CACM-2716	0.385		0.263
CACM-2956	0.429		0.316
CACM-2316	0.467		0.368
CACM-3148	0.438		0.368
CACM-3077	0.412		0.368
CACM-2081	0.389		0.368
CACM-2923	0.421		0.421
CACM-1043	0.45		0.474
CACM-2003	0.429		0.474
CACM-2091	0.409		0.474
CACM-2527	0.435		0.526
CACM-2815	0.417		0.526
CACM-1627	0.4		0.526
CACM-2320	0.385		0.526
CACM-0281	0.37		0.526
CACM-1872	0.357		0.526
CACM-1903	0.345		0.526
CACM-2246	0.367		0.579
CACM-2705	0.355		0.579
CACM-2873	0.344		0.579
CACM-2938	0.333		0.579
CACM-2787	0.324		0.579
CACM-3080	0.314		0.579
CACM-3026	0.306		0.579
CACM-3185	0.297		0.579
CACM-1769	0.289		0.579
CACM-2398	0.282		0.579
CACM-0048	0.275		0.579
CACM-1145	0.268		0.579
CACM-0265	0.262		0.579
CACM-2542	0.256		0.579
CACM-2593	0.25		0.579
CACM-2826	0.244		0.579
CACM-2898	0.239		0.579
CACM-2954	0.234		0.579
CACM-3027	0.229		0.579
CACM-3127	0.224		0.579
CACM-3103	0.22		0.579
CACM-2317	0.216		0.579
CACM-1710	0.212		0.579
CACM-2034	0.208		0.579
CACM-1861	0.204		0.579
CACM-1179	0.2		0.579
CACM-3041	0.196		0.579
CACM-1552	0.193		0.579
CACM-1676	0.19		0.579
CACM-2931	0.186		0.579
CACM-0321	0.183		0.579
CACM-2651	0.18		0.579
CACM-1425	0.177		0.579
CACM-2002	0.175		0.579
CACM-2957	0.172		0.579
CACM-3101	0.169		0.579
CACM-2208	0.167		0.579
CACM-1641	0.164		0.579
CACM-0205	0.162		0.579
CACM-2842	0.159		0.579
CACM-0081	0.157		0.579
CACM-0198	0.155		0.579
CACM-1472	0.153		0.579
CACM-0731	0.151		0.579
CACM-1788	0.149		0.579
CACM-1358	0.16		0.632
CACM-1860	0.158		0.632
CACM-1642	0.156		0.632
CACM-3057	0.154		0.632
CACM-1703	0.152		0.632
CACM-1459	0.15		0.632
CACM-1223	0.148		0.632
CACM-2922	0.146		0.632
CACM-2295	0.145		0.632
CACM-0232	0.143		0.632
CACM-2301	0.141		0.632
CACM-2560	0.14		0.632
CACM-1183	0.138		0.632
CACM-2305	0.136		0.632
CACM-2489	0.135		0.632
CACM-0628	0.133		0.632
CACM-0651	0.132		0.632
CACM-2814	0.13		0.632
CACM-1098	0.129		0.632
CACM-1713	0.128		0.632
CACM-2603	0.126		0.632
CACM-0074	0.125		0.632
CACM-0111	0.124		0.632
CACM-0825	0.122		0.632
CACM-2887	0.121		0.632
CACM-1143	0.12		0.632
